"Read Details","Lees details"
"Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType","Entiteitstype model moet onderdeel zijn van\Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType"
"There are no product types available for export.","Er zijn geen product-typen beschikbaar om te exporteren."
"Entity type model must be an instance of Magento\CatalogImportExport\Model\Import\Product\Type\AbstractType","Type entiteitsmodel moet voorkomen in \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType"
"Category ""%1"" has not been created.","Categorie ""%1"" is niet gemaakt."
"File directory '%1' is not readable.","Bestandsmap '%1' is niet leesbaar."
"File directory '%1' is not writable.","Bestandsmap '%1' is niet schrijfbaar."
"Value for 'price' sub attribute in 'store' attribute contains incorrect value","Waarde voor 'prijs' subkenmerk in 'winkel' kenmerk bevat onjuiste waarde"
"Value for 'type' sub attribute in 'custom_options' attribute contains incorrect value acceptable values are: 'dropdown' 'checkbox'","Waarde voor het 'type' subattribuut in het 'custom_options' attribuut bevat onjuiste waarde toegestane waarden zijn: 'dropdown' 'checkbox'"
"Please enter a value for title.","Voer een titel in."
"Value for 'price' sub attribute in 'custom_options' attribute contains incorrect value","Waarde voor 'prijs' subattribuut in 'custom_options' attribuut bevat een onjuiste waarde"
"Value for 'maximum characters' sub attribute in 'custom_options' attribute contains incorrect value","Waarde voor 'maximale karakters' sub attribuut in 'custom_options' kenmerk bevat onjuiste waarde"
"Value for 'sort order' sub attribute in 'custom_options' attribute contains incorrect value","Waarde voor 'sorteervolgorde' subkenmerk in 'custom_options' kenmerk bevat onjuiste waarde"
"Value for 'value price' sub attribute in 'custom_options' attribute contains incorrect value","Waarde voor 'prijs waarde' subkenmerk in 'custom_options' kenmerk bevat onjuiste waarde"
"This name is already being used for custom option. Please enter a different name.","Deze naam wordt al gebruikt voor aangepaste optie. Voer een andere naam in."
"Custom options have different types.","Aangepaste opties hebben verschillende types."
"Every option entity must have a parent product entity.","Elke optie-entiteit moet een bovenliggende product-entiteit hebben."
"Please correct the parameters.","Corrigeer de parameters."
"File '%1' was not found or has read restriction.","Bestand '%1' is niet gevonden of beperking heeft gelezen."
"ALL GROUPS","ALLE GROEPEN"
"Customer Group",Klantengroep
"Minimum Qty","Minimum aantal"
"Add Minimum Qty","Voeg minimum aantal toe"
"We can't rebuild the index for an undefined product.","We kunnen geen index herbouwen voor een ongedefinieerd product."
"Could not rebuild index for empty products array","Kan index voor lege producten niet opnieuw opbouwen"
"Invalid stock id: %1. Only default stock with id %2 allowed","Ongeldige voorraad id: %1. Alleen standaard stock met id %2 toegestaan"
"Invalid stock item id: %1. Should be null or numeric value greater than 0","Ongeldig stock item id: %1. Moet null of numerieke waarde groter dan 0 zijn"
"Invalid stock item id: %1. Assigned stock item id is %2","Ongeldig stock item id: %1. Toegewezen stock item id is %2"
"The stock item for Product is not valid.","De voorraadstatus is ongeldig."
"This product is out of stock.","Dit product is niet op voorraad."
"Some of the products are out of stock.","Sommige van de producten zijn niet op voorraad."
"The stock item for Product in option is not valid.","De voorraadstatus is ongeldig."
"Undefined product type","Niet-gedefinieerd producttype"
"%1 is not a correct comparison method.","%1 is niet een juiste vergelijkingsmethode."
"No Backorders","Geen backorders"
"Allow Qty Below 0","Aantal onder 0 toestaan"
"Allow Qty Below 0 and Notify Customer","Aantal onder 0 toestaan en klant inlichten"
"In Stock","Op voorraad"
"Out of Stock","Niet op voorraad"
"Unable to save Stock Item","Kan Stock item niet opslaan"
"Stock Item with id ""%1"" does not exist.","Voorraadproduct met id ""%1"" bestaat niet."
"Unable to remove Stock Item with id ""%1""","Kan Stock item niet verwijderen met id ""%1"""
"Unable to save Stock","Kan Stock niet opslaan"
"Stock with id ""%1"" does not exist.","Voorraad met id ""%1"" bestaat niet."
"Unable to remove Stock with id ""%1""","Kan Stock niet verwijderen met id ""%1"""
"Unable to save Stock Status","Kan Stock status niet opslaan"
"Unable to remove Stock Status for product %1","Kan Stock Status niet verwijderen voor product %1"
"Not all of your products are available in the requested quantity.","Niet al uw producten zijn beschikbaar in het gevraagde aantal."
"Product with SKU ""%1"" does not exist","Product met art.nr. ""%1"" bestaat niet"
"The fewest you may purchase is %1.","Het minimale aantal dat u kunt bestellen is %1."
"Please correct the quantity for some products.","Corrigeer het aantal voor sommige producten."
"The most you may purchase is %1.","Het meeste dat u kunt kopen is %1."
"We don't have as many ""%1"" as you requested.","Onvoldoende voorraad beschikbaar voor: ""%1""."
"We don't have as many ""%1"" as you requested but we'll back order the remaining %2.","We hebben niet zo veel van ""%1"" zoals u gevraagd heeft maar we zullen de resterende %2 naleveren."
"We don't have ""%1"" in the requested quantity so we'll back order the remaining %2.","We hebben niet zo veel van ""%1"" zoals u gevraagd heeft maar we zullen de resterende %2 naleveren."
"You can buy %1 only in quantities of %2 at a time.","U kunt %1 alleen in hoeveelheden van %2 kopen in Ã©Ã©n keer."
"You can buy this product only in quantities of %1 at a time.","U kunt dit product enkel in veelvouden van %1 kopen."
"Decimal qty increments is not allowed.","Het is niet toegestaan om het aantal met decimalen te verhogen."
"Stock Status",Voorraadstatus
Quantity,Aantal
"Advanced Inventory","Geavanceerd voorraadbeheer"
"%1 is available to buy in increments of %2","%1 is beschikbaar om te kopen in stappen van %2"
"Only %1 left","Nog %1 beschikbaar"
"Product availability",Productbeschikbaarheid
"Product Name","Product Naam"
Qty,Aantal
"Delete Rule","Regel verwijderen"
"Are you sure you want to do this?","Weet u zeker dat u dit wilt doen?"
"Save and Apply","Opslaan en toepassen"
"Save and Continue Edit",Toepassen
Save,Opslaan
"Catalog Price Rule","Catalogus Prijsregel"
"Add New Rule","Voeg nieuwe regel toe"
"Apply Rules","Regels toepassen"
Conditions,Voorwaarden
"Conditions (don't add conditions if rule is applied to all products)","Voorwaarden (voeg geen voorwaarden toe als de regel toegewezen is aan alle producten)"
"Attribute Set",Attributenset
SKU,Art.nr.
Promotions,Aanbiedingen
"We found updated rules that are not applied. Please click ""Apply Rules"" to update your catalog.","We vonden bijgewerkte regels die niet zijn toegepast. Klik op ""Pas regels toe"" om de catalogus bij te werken."
"We can't apply the rules.","We kunnen niet de regels toepassen."
"You deleted the rule.","U heeft de regel verwijderd."
"We can't delete this rule right now. Please review the log and try again.","Wij kunnen de regel niet verwijderen. Controleer het logboek en probeer het opnieuw."
"We can't find a rule to delete.","We kunnen geen regel om te verwijderen vinden."
"This rule no longer exists.","Deze regel bestaat niet langer."
"New Catalog Price Rule","Nieuwe catalogus prijs regel"
"Edit Rule","Bewerk regel"
"New Rule","Nieuwe regel"
Catalog,Catalogus
"You saved the rule.","U heeft de regel opgeslagen."
"Something went wrong while saving the rule data. Please review the error log.","Er ging iets mis bij het opslaan van de gegevens van de regel. Controleer het error logboek."
Promo,Promotie
"Unable to save rule %1","Kan regel %1 niet opslaan"
"Rule with specified ID ""%1"" not found.","Regel met ID ""%1"" niet gevonden."
"Unable to remove rule %1","Kan regel %1 niet verwijderen"
"Could not rebuild index for empty products array","Kan index voor lege producten niet opnieuw opbouwen"
"We can't rebuild the index for an undefined product.","We kunnen geen index herbouwen voor een ongedefinieerd product."
"Percentage discount should be between 0 and 100.","Kortingspercentage moet een waarde tussen de 0 en 100 zijn."
"Discount value should be 0 or greater.","Kortingswaarde moet groter of gelijk zijn aan 0."
"Unknown action.","Onbekende actie."
"Update the Product","Het product bijwerken"
"Rule price",Regelprijs
"To Fixed Value","Tot vast bedrag"
"To Percentage","Naar percentage"
"By Fixed value","Met vast bedrag"
"By Percentage","Met percentage"
"Update product's %1 %2: %3","Bijwerken product %1 %2: %3"
"Apply as percentage of original","Toepassen als percentage van origineel"
"Apply as fixed amount","Toepassen als vast bedrag"
"Adjust final price to this percentage","Pas de uiteindelijke prijs aan van dit percentage"
"Adjust final price to discount value","Aanpassen van de definitieve prijs naar kortingswaarde"
"Conditions Combination",Voorwaardencombinatie
"Product Attribute",Product-attribuut
"Updated rules applied.","Bijgewerkte regels toegepast."
"You disabled %1 Catalog Price Rules based on ""%2"" attribute.","%1 catalogus prijsregel is uitgeschakeld op basis van attribuut ""%2""."
"Go to Home Page","Ga naar homepagina"
"Catalog Advanced Search","Catalogus geavanceerd zoeken"
All,Allen
Yes,Ja
No,Nee
Results,Resultaten
Grid,Foto-tabel
List,Lijst
"Search Weight",Zoekgewicht
Relevance,Relevantie
"Search results for: '%1'","Zoekresultaten voor: â€˜%1â€™"
"Minimum Search query length is %1","Minimale lengte zoekopdracht is %1"
"Please specify at least one search term.","Geef tenminste Ã©Ã©n zoekterm op."
"%1 and greater","%1 en groter"
"up to %1","tot %1"
Category,Categorie
"%1 and above","%1 en hoger"
"Sorry something went wrong. You can find out more in the error log.","Er ging iets mis. U kunt meer informatie vinden in het error logboek vinden."
"Bucket does not exist","Bucket bestaat niet"
"Search Settings",Zoekinstellingen
Search,Zoek
"Advanced Search","Geavanceerd zoeken"
"<strong>%1 item</strong> were found using the following search criteria","<strong>%1 artikel(en)</strong> gevonden met de volgende zoekopdracht"
"<strong>%1 items</strong> were found using the following search criteria","<strong>%1 product(en)</strong> gevonden met de volgende zoekopdracht"
"We can't find any items matching these search criteria.","We hebben geen producten gevonden die aan deze zoekcriteria voldoen."
"Modify your search.","Pas uw zoekopdracht aan."
name,naam
"Don't see what you're looking for?","Niet gevonden wat u zocht?"
"Your search returned no results.","Uw zoekopdracht heeft geen resultaten opgeleverd."
"Create Permanent Redirect for old URL","Maak een permanente doorverwijzing voor de oude URL"
"Conditions Combination",Voorwaardencombinatie
"Product Attribute",Product-attribuut
SKU,Art.nr.
"Please choose a condition to add.","Kies een voorwaarde om toe te voegen."
"Add to Cart","In Winkelwagen"
"In stock","Op voorraad"
"Out of stock","Niet op voorraad"
"Add to Wish List","Voeg toe aan verlanglijst"
"Add to Compare","Toevoegen om te vergelijken"
Root,"Hoofd (root)"
Delete,Verwijder
Save,Bewaar
"Use Config Settings","Gebruik configuratiewaarden"
"Use All Available Attributes","Gebruik alle beschikbare attributen"
Name,Naam
SKU,Art.nr.
Price,Prijs
Position,Positie
"Add Subcategory","Subcategorie toevoegen"
"Add Root Category","Hoofd-categorie toevoegen"
Day,Dag
Month,Maand
Year,Jaar
"<label class=""label""><span>from</span></label>","<label class=""label""><span>van</span></label>"
"<label class=""label""><span>to</span></label>","<label class=""label""><span>tot</span></label>"
[GLOBAL],[GLOBAAL]
"[STORE VIEW]",[WINKELAANZICHT]
"WYSIWYG Editor","WYSIWYG editor"
"Add Product","Product toevoegen"
"Product Attributes",Productattributen
"Add New Attribute","Nieuw attribuut toevoegen"
Cancel,Annuleer
"Save Attribute","Bewaar attribuut"
"Save in New Attribute Set","Opslaan in nieuwe attribuutset"
"Enter Name for New Attribute Set","Voer naam in voor nieuwe attribuutset"
"Save and Continue Edit",Toepassen
